394.425 0.005 606
301.417626 382.782240 Fe
334.702710 382.976400 Fe
411.578817 383.422220 Fe
519.610558 384.043720 Fe
529.904042 384.104770 Fe
685.413700 384.996640 Fe
797.831713 385.637130 Fe
848.178768 385.921230 Fe
860.069029 385.991100 Fe
958.878953 386.552280 Fe
1082.988874 387.250090 Fe
1180.952337 387.801800 Fe
1190.917267 387.857300 Fe
1328.279273 388.628200 Fe
1341.950484 388.704800 Fe
1368.156635 388.851320 Fe
1496.266752 389.565620 Fe
1569.089164 389.970710 Fe
1627.223819 390.294550 Fe
1939.764626 392.025780 Fe
1987.929180 392.291150 Fe
2078.901685 392.792000 Fe
2121.917519 393.029640 Fe
#2179.322534 393.359900 Fe
#2339.569753 394.236380 Fe
2601.712306 395.667700 Fe
2831.729436 396.925700 Fe
3346.141136 399.739190 Fe
3489.298535 400.524170 Fe
#3953.521213 403.048000 Fe
#3995.495724 403.262720 Fe
#4145.748326 404.127100 Fe
4226.101633 404.581220 Fe
#4534.363881 406.327540 Fe
4545.318623 406.359390 Fe
321.258787 382.936781 Sky
405.259805 383.422042 Sky
491.120054 383.916427 Sky
513.008306 384.042197 Sky
538.262779 384.187176 Sky
557.939794 384.300039 Sky
643.125045 384.787655 Sky
661.651491 384.893493 Sky
679.808606 384.997150 Sky
693.696497 385.076387 Sky
723.969623 385.248965 Sky
792.019107 385.636192 Sky
815.472873 385.769430 Sky
826.099792 385.829764 Sky
900.372400 386.250812 Sky
953.283610 386.550107 Sky
1103.287760 387.395812 Sky
1138.130309 387.591688 Sky
1155.430593 387.688871 Sky
1176.151429 387.805205 Sky
1288.027096 388.432148 Sky
1303.589556 388.519210 Sky
1322.974657 388.627608 Sky
1336.039220 388.700632 Sky
1363.197374 388.852356 Sky
1423.586975 389.189374 Sky
1442.945282 389.297306 Sky
#1449.429204 389.333446 Sky
1461.502231 389.400725 Sky
1489.987331 389.559389 Sky
1532.367094 389.795266 Sky
1552.950223 389.909750 Sky
1563.735281 389.969717 Sky
1578.744332 390.053149 Sky
1622.186675 390.294492 Sky
1638.879610 390.387174 Sky
1685.379042 390.645193 Sky
1745.865637 390.980497 Sky
1812.635939 391.350227 Sky
1827.724284 391.433720 Sky
1878.907785 391.716800 Sky
1901.446868 391.841385 Sky
1913.812678 391.909720 Sky
1934.779990 392.025560 Sky
1982.444108 392.288763 Sky
2038.110718 392.595938 Sky
2116.955600 393.030635 Sky
2336.761429 394.240419 Sky
2366.032720 394.401320 Sky
2452.522788 394.876498 Sky
2495.860024 395.114464 Sky
2571.908950 395.531860 Sky
2906.041076 397.363526 Sky
2980.886956 397.773490 Sky
3068.453297 398.253065 Sky
3119.828943 398.534422 Sky
3187.251314 398.903670 Sky
3201.747847 398.983067 Sky
3301.256002 399.528139 Sky
3339.972695 399.740265 Sky
3350.419393 399.797508 Sky
3563.971910 400.968459 Sky
3638.109388 401.375446 Sky
3718.113218 401.815002 Sky
3926.919881 402.964468 Sky
3946.592455 403.072959 Sky
#3989.149846 403.307785 Sky
4014.252492 403.446384 Sky
4036.114165 403.567141 Sky
4138.949636 404.135871 Sky
4185.049307 404.391217 Sky
4197.315571 404.459201 Sky
4272.341445 404.875425 Sky
4382.928558 405.490216 Sky
4394.521798 405.554757 Sky
4429.226434 405.748063 Sky
4519.007944 406.248862 Sky
