654.1 -0.006 661
394.898 666.6892 Ne
634.843 665.20925 Ne
832.117 664.00095 Ne
1439.45 660.29007 Ne
1504.23 659.89528 Ne
2584.95 653.28824 Ne
3012.41 650.65277 Ne
3997.9 644.47118 Ne
4356.22 642.17044 Ne
4540.02 640.97469 Ne
506.076306 666.343382 Sky
827.290171 664.360831 Sky
988.352995 663.373937 Sky
1392.017710 660.914945 Sky
1465.930510 660.456992 Sky
1581.130030 659.754344 Sky
1641.557376 659.390596 Sky
1657.234003 659.294588 Sky
#1765.144465 658.629636 Sky
1951.474972 657.498594 Sky
1987.233089 657.277307 Sky
2045.593315 656.926161 Sky
2150.872568 656.283285 Sky
2270.663591 655.543135 Sky
2316.880047 655.261875 Sky
2382.350992 654.860224 Sky
#2421.478009 654.628603 Sky
2459.373668 654.394390 Sky
2621.699812 653.398917 Sky
2731.322384 652.718009 Sky
#2874.944175 651.833083 Sky
2904.027689 651.658165 Sky
#2912.291224 651.602693 Sky
2933.595606 651.470407 Sky
#3177.534706 649.966457 Sky
3188.835322 649.893056 Sky
3222.012711 649.689499 Sky
#3228.016600 649.648166 Sky
3239.636748 649.579636 Sky
3252.590491 649.497284 Sky
3272.121875 649.377366 Sky
3307.327292 649.163824 Sky
3319.940683 649.078181 Sky
3463.079513 648.190699 Sky
3491.645531 648.005347 Sky
3561.763379 647.569375 Sky
3625.894837 647.164156 Sky
3665.189251 646.918771 Sky
3770.034799 646.266790 Sky
3868.457777 645.643251 Sky
3880.725258 645.565201 Sky
3972.095932 644.979942 Sky
4140.647858 643.907274 Sky
4240.244531 643.273810 Sky
4268.865418 643.086472 Sky
4415.850713 642.138343 Sky
4437.834514 641.993312 Sky
#4483.880876 641.695654 Sky
4513.986600 641.495919 Sky
4564.553400 641.167171 Sky
